region_name,gold_count,silver_count,bronze_count
Afghanistan,0,0,2
Albania,1,1,1
Algeria,5,4,8
"American Samoa",0,0,0
Andorra,0,0,0
Angola,0,0,0
"Antigua and Barbuda",0,0,0
Argentina,91,92,92
Armenia,5,6,12
Aruba,0,0,0
Australasia,21,6,8
Australia,348,459,526
Austria,113,186,159
Azerbaijan,9,16,27
Bahamas,14,11,15
Bahrain,1,1,1
Bangladesh,0,0,0
Barbados,0,0,1
Belarus,46,52,80
Belgium,78,148,122
Belize,0,0,0
Benin,0,0,0
Bermuda,0,0,1
Bhutan,0,0,0
Bohemia,0,1,9
Boliva,0,0,0
"Bosnia and Herzegovina",0,0,0
Botswana,0,1,0
Brazil,109,175,192
Brunei,0,0,0
Bulgaria,56,145,147
"Burkina Faso",0,0,0
Burundi,1,1,0
Cambodia,0,0,0
Cameroon,20,2,1
Canada,461,430,433
"Cape Verde",0,0,0
"Cayman Islands",0,0,0
"Central African Republic",0,0,0
Chad,0,0,0
Chile,3,9,20
China,350,348,293
Colombia,5,9,14
Comoros,0,0,0
"Cook Islands",0,0,0
"Costa Rica",1,1,2
Croatia,62,64,44
Cuba,164,130,116
Cyprus,0,1,0
"Czech Republic",46,45,84
Czechoslovakia,91,239,191
"Democratic Republic of the Congo",0,0,0
Denmark,179,240,178
Djibouti,0,0,1
Dominica,0,0,0
"Dominican Republic",3,2,2
"East Germany",451,368,318
Ecuador,1,1,0
Egypt,7,7,11
"El Salvador",0,0,0
"Equatorial Guinea",0,0,0
Eritrea,0,0,1
Estonia,16,14,28
Ethiopia,22,9,22
Fiji,13,0,0
Finland,198,270,433
France,492,563,631
Gabon,0,1,0
Gambia,0,0,0
Georgia,9,7,20
Germany,843,742,810
Ghana,0,1,22
Greece,34,48,42
Grenada,1,1,0
Guam,0,0,0
Guatemala,0,1,0
Guinea,0,0,0
Guinea-Bissau,0,0,0
Guyana,0,0,1
Haiti,0,1,0
Honduras,0,0,0
"Hong Kong",1,2,1
Hungary,434,333,373
Iceland,0,15,2
India,119,21,40
"Individual Olympic Athletes",4,4,9
Indonesia,11,18,13
Iran,18,20,29
Iraq,0,0,0
Ireland,11,13,13
Israel,1,1,7
Italy,568,528,507
"Ivory Coast",1,1,1
Jamaica,38,77,49
Japan,248,304,357
Jordan,1,0,0
Kazakhstan,23,31,39
Kenya,34,39,30
Kiribati,0,0,0
Kosovo,1,0,0
Kuwait,1,0,3
Kyrgyzstan,0,3,2
Laos,0,0,0
Latvia,6,20,15
Lebanon,0,2,2
Lesotho,0,0,0
Liberia,0,0,0
Libya,0,0,0
Liechtenstein,2,2,5
Lithuania,13,9,51
Luxembourg,4,4,0
Macedonia,1,1,1
Madagascar,0,0,0
Malawi,0,0,0
Malaya,0,0,0
Malaysia,0,12,5
Maldives,0,0,0
Mali,0,0,0
Malta,0,0,0
"Marshall Islands",0,0,0
Mauritania,0,0,0
Mauritius,0,0,1
Mexico,30,26,55
Micronesia,0,0,0
Moldova,4,3,8
Monaco,0,0,1
Mongolia,2,10,15
Montenegro,0,17,2
Morocco,6,5,12
Mozambique,1,0,1
Myanmar,0,0,0
Namibia,0,4,0
Nauru,0,0,0
Nepal,0,0,0
Netherlands,280,338,416
"Netherlands Antilles",0,1,0
"New Zealand",92,56,82
Newfoundland,0,0,0
Nicaragua,0,0,0
Niger,0,1,0
Nigeria,23,32,46
"North Borneo",0,0,0
"North Korea",16,16,35
"North Yemen",0,0,0
Norway,378,362,294
Oman,0,0,0
Pakistan,45,45,34
Palau,0,0,0
Palestine,0,0,0
Panama,1,0,2
"Papua New Guinea",0,0,0
Paraguay,0,17,0
Peru,1,14,0
Philippines,0,3,7
Poland,117,197,253
Portugal,4,11,26
"Puerto Rico",1,2,6
Qatar,0,1,4
"Refugee Olympic Team",0,0,0
"Republic of Congo",0,0,0
Romania,163,203,278
Russia,466,409,446
Rwanda,0,0,0
Saar,0,3,0
"Saint Lucia",0,0,0
"Saint Vincent",0,0,0
Samoa,0,0,0
"San Marino",0,0,0
"Sao Tome and Principe",0,0,0
"Saudi Arabia",0,1,5
Senegal,0,1,0
Serbia,19,39,49
"Serbia and Montenegro",23,33,39
Seychelles,0,0,0
"Sierra Leone",0,0,0
Singapore,1,4,4
Slovakia,18,19,16
Slovenia,9,17,37
"Solomon Islands",0,0,0
Somalia,0,0,0
"South Africa",33,45,50
"South Korea",224,232,186
"South Sudan",0,0,0
"South Yemen",0,0,0
"Soviet Union",1135,783,740
Spain,111,245,137
"Sri Lanka",0,2,0
Sudan,0,1,0
Suriname,1,0,1
Swaziland,0,0,0
Sweden,477,522,536
Switzerland,170,243,249
Syria,1,1,1
Taiwan,4,29,18
Tajikistan,1,1,2
Tanzania,0,2,0
Thailand,9,8,15
Timor-Leste,0,0,0
Togo,0,0,1
Tonga,0,1,0
"Trinidad and Tobago",7,8,17
Tunisia,3,3,7
Turkey,34,20,27
Turkmenistan,0,1,0
"Turks and Caicos Islands",0,0,0
Tuvalu,0,0,0
Uganda,2,3,2
UK,658,687,626
Ukraine,63,69,113
"Unified Team",233,181,186
"United Arab Emirates",1,0,1
"United Arab Republic",0,1,1
Uruguay,31,2,26
USA,2533,1580,1301
Uzbekistan,16,10,17
Vanuatu,0,0,0
Venezuela,2,3,10
Vietnam,1,3,0
"Vietnam (pre)",0,0,0
"Virgin Islands",0,1,0
"Virgin Islands, British",0,0,0
"West Germany",213,224,282
"West Indies Federation",0,0,5
Yemen,0,0,0
Yugoslavia,136,180,100
Zambia,0,1,0
Zimbabwe,16,4,1
"Zimbabwe (Rhodesia)",0,0,0
